combination,n,distribution,success,nparams,fit_params,log_likelihood,ks_statistic,ks_pvalue,aic,bic,llr
"(1, 0)",192,norm,1,2,"{'loc': 0.2572291666666667, 'scale': 0.1920819041432731}",44.33181708120124,0.3614584679141074,0.0001,-84.66363416240247,-78.14864341834691,
"(1, 0)",192,lognorm_2,1,2,"{'s': 0.5374984191837179, 'loc': 0, 'scale': 0.2145988477807591}",142.24814299811436,0.13457209564364325,0.0001,-280.4962859962287,-273.98129525217314,
"(1, 0)",192,lognorm,1,3,"{'s': 1.1138484199237122, 'loc': 0.12085829750235375, 'scale': 0.06657598268653127}",227.06914361025784,0.13457209564364325,0.0001,-448.1382872205157,-438.3658011044323,8.858444370033364e-39
"(1, 0)",192,exponnorm,1,3,"{'K': 21.74590670389661, 'loc': 0.13421217644414457, 'scale': 0.00565702054316879}",202.02127133117475,0.27200518206289115,0.0001,-398.0425426623495,-388.2700565462661,
"(1, 0)",192,invgauss_2,1,2,"{'mu': 0.33862172375663757, 'loc': 0, 'scale': 0.759635748743437}",144.3994702919341,0.1556545456399242,0.0001,-284.7989405838682,-278.28394983981264,
"(1, 0)",192,invgauss,1,3,"{'mu': 2.0141044079866814, 'loc': 0.11836683966938943, 'scale': 0.0689455791108447}",234.27491927888258,0.15565670613192795,0.0001,-462.54983855776516,-452.7773524416818,5.492999997200498e-41
"(1, 0)",192,beta,1,4,"{'a': 0.6646818416834643, 'b': 3.2209132203843764, 'loc': 0.12199999999999998, 'scale': 1.14475264117679}",188.82441208108423,0.25366267619032934,0.0001,-369.64882416216847,-356.61884267405736,
"(1, 0)",192,gamma_2,1,2,"{'a': 2.9154153343062554, 'loc': 0, 'scale': 0.08823071060915451}",114.8761076516769,0.2506589752978978,0.0001,-225.7522153033538,-219.23722455929826,
"(1, 0)",192,gamma,1,3,"{'a': 0.6849239488164867, 'loc': 0.12199999999999997, 'scale': 0.16532315027339595}",201.28522755540195,0.19737741633024286,0.0001,-396.5704551108039,-386.7979689947205,1.7933442140160866e-39
"(1, 0)",192,gumbel_r,1,2,"{'loc': 0.1852036567522445, 'scale': 0.0932855606283388}",115.19862830954752,0.2693453336703724,0.0001,-226.39725661909503,-219.88226587503948,
"(1, 0)",192,rayleigh_1,1,1,"{'loc': 0, 'scale': 0.2270047379277945}",81.90412063325832,0.3931999745806998,0.0001,-161.80824126651663,-158.55074589448884,
"(1, 0)",192,rayleigh,1,2,"{'loc': -0.009099474060246056, 'scale': 0.23219216478032856}",82.08490427267023,0.3931999745806998,0.0001,-160.16980854534046,-153.6548178012849,0.5476370948334061
"(1, 0)",192,weibull_min_2,1,2,"{'c': 1.5422897603044916, 'loc': 0, 'scale': 0.2900063070124449}",97.50057126392608,0.42266250027714014,0.0001,-191.00114252785215,-184.4861517837966,
"(1, 0)",192,weibull_min,1,3,"{'c': 0.7984721088671267, 'loc': 0.12199999999999997, 'scale': 0.11831331222604824}",206.59258644517502,0.20695923280142203,0.0001,-407.18517289035003,-397.41268677426666,2.2516463524749905e-49
"(1, 0)",192,GMM2,1,6,"{'weights': array([0.1877234, 0.8122766]), 'means': array([0.63730332, 0.16939109]), 'stds': array([0.12559633, 0.0260271 ])}",279.09879455272795,0.12367598839835178,0.0001,-546.1975891054559,-526.6526168732892,2.597048898966417e-100
"(1, 0)",192,GMM3,1,9,"{'weights': array([0.8125   , 0.1430013, 0.0444987]), 'means': array([0.16940385, 0.57684689, 0.83370273]), 'stds': array([0.02603764, 0.03214557, 0.1096024 ])}",299.6633155201165,0.1236967387171668,0.0001,-581.326631040233,-552.0091726919829,6.139811463103025e-09
"(1, 0)",192,WMM2,1,6,"{'weights': array([0., 1.]), 'shapes': array([0.53487938, 1.54548904]), 'scales': array([0.36361247, 0.29034606])}",97.49968611216987,0.30273280801686553,0.0001,-182.99937222433974,-163.45439999217305,1.0
"(1, 0)",192,WMM3,1,9,"{'weights': array([1., 0., 0.]), 'shapes': array([1.54218588, 0.13088377, 0.2244245 ]), 'scales': array([0.29004008, 0.14545208, 0.0959627 ])}",97.50056563649179,0.30190390458221283,0.0001,-177.00113127298357,-147.68367292473354,0.9999803886988463
"(1, 0)",192,KDEscott,1,1,{'fitted_kde': <scipy.stats._kde.gaussian_kde object at 0x2b191b3ae950>},198.6700293420387,0.25974427757267027,0.0001,-395.3400586840774,-392.0825633120496,
"(1, 0)",192,KDEsilverman,1,1,{'fitted_kde': <scipy.stats._kde.gaussian_kde object at 0x2b191bf6f5d0>},190.76035208024842,0.26569227071367196,0.0001,-379.52070416049685,-376.26320878846906,
"(1, 1)",192,norm,1,2,"{'loc': 0.20782291666666666, 'scale': 0.11333500257272562}",145.62598816530402,0.3236925136450527,0.0001,-287.25197633060804,-280.73698558655246,
"(1, 1)",192,lognorm_2,1,2,"{'s': 0.37200287616079025, 'loc': 0, 'scale': 0.19011097298105334}",236.17199403283436,0.12572987439555205,0.0001,-468.3439880656687,-461.82899732161314,
"(1, 1)",192,lognorm,1,3,"{'s': 0.8234680347548927, 'loc': 0.11771562223693258, 'scale': 0.058871577575622586}",308.6762634096915,0.12572987439555205,0.0001,-611.352526819383,-601.5800407032997,2.138425721936866e-33
"(1, 1)",192,exponnorm,1,3,"{'K': 10.576716936628422, 'loc': 0.13732175523815326, 'scale': 0.006665686808782222}",300.5599107210485,0.19844722994579056,0.0001,-595.119821442097,-585.3473353260136,
"(1, 1)",192,invgauss_2,1,2,"{'mu': 0.15408009719530405, 'loc': 0, 'scale': 1.3487979333452844}",234.41074911773936,0.15874071086767227,0.0001,-464.8214982354787,-458.30650749142313,
"(1, 1)",192,invgauss,1,3,"{'mu': 0.9169161737444002, 'loc': 0.1151476727762083, 'scale': 0.10107132762183652}",307.1259396776898,0.15872330804053758,0.0001,-608.2518793553796,-598.4793932392963,1.7292981753258102e-33
"(1, 1)",192,beta,1,4,"{'a': 1.233268913931671, 'b': 551629112527.7961, 'loc': 0.1198628698724053, 'scale': 39128553360.32457}",276.95954254075286,0.20158000354226613,0.0001,-545.9190850815057,-532.8891035933946,
"(1, 1)",192,gamma_2,1,2,"{'a': 5.774559536181311, 'loc': 0, 'scale': 0.035989397176446634}",209.11382780146067,0.20157645490467535,0.0001,-414.22765560292135,-407.71266485886576,
"(1, 1)",192,gamma,1,3,"{'a': 1.2188955560248576, 'loc': 0.11987259905363329, 'scale': 0.07215637960925668}",276.9706488530537,0.201585337026416,0.0001,-547.9412977061074,-538.1688115900241,2.3048475167686566e-31
"(1, 1)",192,gumbel_r,1,2,"{'loc': 0.17026691343366135, 'scale': 0.04778950295422592}",240.9765589668251,0.2041879801628136,0.0001,-477.9531179336502,-471.43812718959464,
"(1, 1)",192,rayleigh_1,1,1,"{'loc': 0, 'scale': 0.1673845684344886}",175.6368593124283,0.34945275918530416,0.0001,-349.2737186248566,-346.0162232528288,
"(1, 1)",192,rayleigh,1,2,"{'loc': 0.057183976003185324, 'scale': 0.1332983744319029}",188.3963831586243,0.34945275918530416,0.0001,-372.7927663172486,-366.277775573193,4.3803701180711174e-07
"(1, 1)",192,weibull_min_2,1,2,"{'c': 1.9816112682712528, 'loc': 0, 'scale': 0.23607994425850748}",175.65582521235072,0.18836294978023072,0.0001,-347.31165042470144,-340.79665968064586,
