combination,n,distribution,success,nparams,fit_params,log_likelihood,ks_statistic,ks_pvalue,aic,bic,llr
"(1, 0)",192,norm,1,2,"{'loc': 0.14502604166666666, 'scale': 0.14845020331241807}",93.80489760005892,0.23818984697834245,0.0001,-183.60979520011784,-177.0948044560623,
"(1, 0)",192,lognorm_2,1,2,"{'s': 0.7716358743986688, 'loc': 0, 'scale': 0.10200247656652979}",215.62793438151388,0.08769047130842655,0.0004,-427.25586876302776,-420.7408780189722,
"(1, 0)",192,lognorm,1,3,"{'s': 1.4069609025102359, 'loc': 0.03801103912815035, 'scale': 0.044724715769893064}",258.5968284589445,0.08769047130842655,0.0007,-511.19365691788903,-501.42117080180566,1.8568635966904488e-20
"(1, 0)",192,exponnorm,1,3,"{'K': 2408.8711478684454, 'loc': 0.03889999451713343, 'scale': 4.40584491273486e-05}",238.65716882339592,0.23613455889200885,0.0001,-471.31433764679184,-461.54185153070847,
"(1, 0)",192,invgauss_2,1,2,"{'mu': 0.7948811514430086, 'loc': 0, 'scale': 0.18244996928583573}",221.67534786565065,0.08278867063135076,0.002,-439.3506957313013,-432.8357049872457,
"(1, 0)",192,invgauss,1,3,"{'mu': 2.956111982748854, 'loc': 0.03430858615468067, 'scale': 0.03745329666362816}",259.62945522754796,0.08279138997833602,0.0056,-513.2589104550959,-503.48642433901256,2.9716125459197078e-18
"(1, 0)",192,beta,1,4,"{'a': 0.5998237570037684, 'b': 3.670626847014068, 'loc': 0.03899999999999999, 'scale': 0.7501328370381622}",265.97370028576677,0.13092795457209183,0.0001,-523.9474005715335,-510.91741908342243,
"(1, 0)",192,gamma_2,1,2,"{'a': 1.5666617390854751, 'loc': 0, 'scale': 0.09257010498726057}",189.00930726016253,0.09469460172976618,0.001,-374.01861452032506,-367.5036237762695,
"(1, 0)",192,gamma,1,3,"{'a': 0.6815445059264282, 'loc': 0.03899999999999999, 'scale': 0.1397849927114335}",271.5084306867654,0.13104530434051592,0.0001,-537.0168613735308,-527.2443752574475,9.15572948195195e-38
"(1, 0)",192,gumbel_r,1,2,"{'loc': 0.08949809179540519, 'scale': 0.07599566782248386}",162.51002366484852,0.22174318809304738,0.0001,-321.02004732969704,-314.50505658564146,
"(1, 0)",192,rayleigh_1,1,1,"{'loc': 0, 'scale': 0.14674811008152713}",106.62090465907319,0.2702166678710965,0.0001,-211.24180931814638,-207.9843139461186,
"(1, 0)",192,rayleigh,1,2,"{'loc': -0.06266887094059477, 'scale': 0.1805195828524377}",131.27953950325562,0.2702166678710965,0.0001,-258.55907900651124,-252.0440882624557,2.177371842950303e-12
