combination,n,distribution,success,nparams,fit_params,log_likelihood,ks_statistic,ks_pvalue,aic,bic,llr
"(1, 0)",192,norm,1,2,"{'loc': 12.816927083333335, 'scale': 1.2300854782272894}",-312.1962613762752,0.19453672751328277,0.0001,628.3925227525503,634.9075134966059,
"(1, 0)",192,lognorm_2,1,2,"{'s': 0.09715400323764288, 'loc': 0, 'scale': 12.757079505995648}",-313.6448656983903,0.19503304712968084,0.0001,631.2897313967806,637.8047221408361,
"(1, 0)",192,lognorm,1,3,"{'s': 9.384630274497912e-06, 'loc': -131061.73749999989, 'scale': 131074.55442131127}",-312.19637897480334,0.19503304712968084,0.0001,630.3927579496067,640.16524406569,0.08874603729077395
"(1, 0)",192,exponnorm,1,3,"{'K': 0.0010251055968676114, 'loc': 12.815667040128066, 'scale': 1.2300844638401336}",-312.1962613926068,0.1950318539684357,0.0001,630.3925227852136,640.1650089012969,
"(1, 0)",192,invgauss_2,1,2,"{'mu': 0.009473988722929637, 'loc': 0, 'scale': 1352.8543740307475}",-313.5517626792823,0.20258064325397818,0.0001,631.1035253585646,637.6185161026202,
"(1, 0)",192,invgauss,1,3,"{'mu': 0.02508456091343747, 'loc': 4.8319048530120305, 'scale': 317.59592348191325}",-314.61333870227963,0.20372215584372555,0.0001,635.2266774045593,644.9991635206426,1.0
"(1, 0)",192,beta,1,4,"{'a': 0.6910505825599712, 'b': 0.8153750044367589, 'loc': 10.262499999999998, 'scale': 4.976868024110855}",-318.03888949733386,0.19574700532391226,0.0001,644.0777789946677,657.1077604827789,
"(1, 0)",192,gamma_2,1,2,"{'a': 106.99595969007049, 'loc': 0, 'scale': 0.11978888848195246}",-312.99591385129827,0.20009005149013337,0.0001,629.9918277025965,636.5068184466521,
"(1, 0)",192,gamma,1,3,"{'a': 492.4217187131417, 'loc': -14.576185426138785, 'scale': 0.055629146787366746}",-312.57011100227817,0.19770641265309774,0.0001,631.1402220045563,640.9127081206396,0.35609849013764394
"(1, 0)",192,gumbel_r,1,2,"{'loc': 12.198092798845497, 'scale': 1.1369723697801544}",-321.1490917609705,0.21182991655722794,0.0001,646.298183521941,652.8131742659966,
"(1, 0)",192,rayleigh_1,1,1,"{'loc': 0, 'scale': 9.104579346219934}",-551.3219809410283,0.21246137365719497,0.0001,1104.6439618820566,1107.9014572540843,
"(1, 0)",192,rayleigh,1,2,"{'loc': 10.194621924576511, 'scale': 2.048120434616615}",-312.8470599890377,0.21246137365719497,0.0001,629.6941199780754,636.209110722131,9.850439840704913e-106
"(1, 0)",192,weibull_min_2,1,2,"{'c': 12.23520503856334, 'loc': 0, 'scale': 13.372938718598027}",-310.77373364169796,0.19380201449968082,0.0001,625.5474672833959,632.0624580274515,
"(1, 0)",192,weibull_min,1,3,"{'c': 3.2262597693316484, 'loc': 9.340002517528513, 'scale': 3.8956666285077777}",-308.28343516756,0.19380308855290795,0.0001,622.56687033512,632.3393564512033,0.0256331368854654
"(1, 0)",192,GMM2,1,6,"{'weights': array([0.4930276, 0.5069724]), 'means': array([11.66751562, 13.93472281]), 'stds': array([0.53859589, 0.41014871])}",-256.37000230174266,0.06289330875960841,0.0009,524.7400046034853,544.2849768356521,3.232308509827214e-23
"(1, 0)",192,GMM3,1,9,"{'weights': array([0.2940317 , 0.51069093, 0.19527737]), 'means': array([11.89999069, 13.92750998, 11.29316498]), 'stds': array([0.40153006, 0.41768849, 0.48590983])}",-256.07493550454126,0.060743385459463006,0.0027,530.1498710090825,559.4673293573326,0.8986873003764295
"(1, 0)",192,WMM2,1,6,"{'weights': array([0., 1.]), 'shapes': array([ 1.32216507, 12.24258951]), 'scales': array([ 1.47889361, 13.36968653])}",-310.77478832701877,0.1600756568014281,0.0011,633.5495766540375,653.0945488862043,1.0
"(1, 0)",192,WMM3,1,9,"{'weights': array([0., 1., 0.]), 'shapes': array([ 1.1885583 , 12.26642418,  1.95480512]), 'scales': array([ 3.40499869, 13.38959163,  1.38113126])}",-310.79394554064277,0.16358650590607954,0.0025,639.5878910812855,668.9053494295356,1.0
