combination,n,distribution,success,nparams,fit_params,log_likelihood,ks_statistic,ks_pvalue,aic,bic,llr
"('fall', 1, 0)",52,norm,1,2,"{'loc': 0.10807692307692306, 'scale': 0.028251511977132885}",111.6788279517451,0.1537477921420892,0.0032,-219.3576559034902,-215.45516846632736,
"('fall', 1, 1)",52,norm,1,2,"{'loc': 0.1049423076923077, 'scale': 0.019263769762011457}",131.5907126791558,0.1333075249598309,0.0202,-259.1814253583116,-255.27893792114872,
"('fall', 1, 2)",52,norm,1,2,"{'loc': 0.10265384615384615, 'scale': 0.015928789387801782}",141.47580826532914,0.1295040602829938,0.0281,-278.95161653065827,-275.0491290934954,
"('fall', 1, 3)",52,norm,1,2,"{'loc': 0.09923076923076923, 'scale': 0.02097490752213535}",127.16547492430664,0.0599191652828825,0.9157,-250.3309498486133,-246.42846241145045,
"('fall', 1, 4)",52,norm,1,2,"{'loc': 0.10151923076923076, 'scale': 0.01853011103023669}",133.60982510617848,0.0786628501399019,0.5716,-263.2196502123569,-259.3171627751941,
"('fall', 1, 5)",52,norm,1,2,"{'loc': 0.10988461538461537, 'scale': 0.02960941498276016}",109.23766678657462,0.0780162337930987,0.5907,-214.47533357314924,-210.5728461359864,
"('fall', 1, 6)",52,norm,1,2,"{'loc': 0.14494230769230768, 'scale': 0.10238021395786967}",44.72641029530533,0.2616741655610799,0.0001,-85.45282059061066,-81.5503331534478,
"('fall', 1, 7)",52,norm,1,2,"{'loc': 0.17007692307692307, 'scale': 0.1483870777799435}",25.42760978108837,0.2522640134232211,0.0001,-46.85521956217674,-42.95273212501389,
"('fall', 1, 8)",52,norm,1,2,"{'loc': 0.15009615384615382, 'scale': 0.1056038059511159}",43.11436136545319,0.1974061360455753,0.0002,-82.22872273090637,-78.32623529374351,
"('fall', 1, 9)",52,norm,1,2,"{'loc': 0.13884615384615384, 'scale': 0.08133155897440489}",56.69469651449795,0.1724003801685054,0.0006,-109.3893930289959,-105.48690559183304,
"('fall', 1, 10)",52,norm,1,2,"{'loc': 0.2006153846153846, 'scale': 0.15765177715533904}",22.27826052711793,0.2130806596404688,0.0001,-40.55652105423585,-36.654033617073,
"('fall', 1, 11)",52,norm,1,2,"{'loc': 0.15859615384615383, 'scale': 0.10602725694827878}",42.90626827234723,0.1962105848674095,0.0001,-81.81253654469447,-77.9100491075316,
"('fall', 1, 12)",52,norm,1,2,"{'loc': 0.1615961538461539, 'scale': 0.12057478681704699}",36.22042048958741,0.2269843519111245,0.0001,-68.44084097917482,-64.53835354201196,
"('fall', 1, 13)",52,norm,1,2,"{'loc': 0.17373076923076924, 'scale': 0.14884350524377754}",25.26790719238703,0.2899436373293894,0.0001,-46.53581438477406,-42.63332694761121,
"('fall', 1, 14)",52,norm,1,2,"{'loc': 0.295673076923077, 'scale': 0.27827129272001994}",-7.268547787913327,0.2348349027638449,0.0001,18.53709557582665,22.43958301298951,
"('fall', 1, 15)",52,norm,1,2,"{'loc': 0.39394230769230776, 'scale': 0.36213408128128977}",-20.96628496302943,0.224129660443378,0.0001,45.93256992605886,49.83505736322172,
"('fall', 1, 16)",52,norm,1,2,"{'loc': 0.33432692307692313, 'scale': 0.27435811249265535}",-6.532109332114198,0.2322953126947462,0.0001,17.064218664228395,20.96670610139125,
"('fall', 1, 17)",52,norm,1,2,"{'loc': 0.1923653846153846, 'scale': 0.17060266803375815}",18.172932529587825,0.2280213427005911,0.0001,-32.345865059175644,-28.44337762201279,
"('fall', 1, 18)",52,norm,1,2,"{'loc': 0.15678846153846152, 'scale': 0.08866864343386768}",52.20334244036402,0.1204515468254164,0.057,-100.40668488072804,-96.50419744356518,
"('fall', 1, 19)",52,norm,1,2,"{'loc': 0.1946153846153846, 'scale': 0.17212128481507025}",17.7121034057635,0.2905111212544597,0.0001,-31.424206811527,-27.521719374364142,
"('fall', 1, 20)",52,norm,1,2,"{'loc': 0.22271153846153846, 'scale': 0.2183769972863144}",5.334879224181777,0.3252567451962866,0.0001,-6.669758448363554,-2.767271011200699,
"('fall', 1, 21)",52,norm,1,2,"{'loc': 0.17255769230769233, 'scale': 0.13255672420943454}",31.29391640554044,0.2561962078084865,0.0001,-58.58783281108087,-54.68534537391802,
"('fall', 1, 22)",52,norm,1,2,"{'loc': 0.1467692307692308, 'scale': 0.05197729363149296}",79.97650874163665,0.1923064663867474,0.0001,-155.9530174832733,-152.05053004611045,
"('fall', 1, 23)",52,norm,1,2,"{'loc': 0.1426923076923077, 'scale': 0.053042631062751505}",78.92148138548237,0.1657707414829687,0.0016,-153.84296277096473,-149.94047533380188,
"('fall', 2, 0)",52,norm,1,2,"{'loc': 0.1325769230769231, 'scale': 0.04315550867495461}",89.64834699671812,0.2215911815723361,0.0001,-175.29669399343624,-171.3942065562734,
"('fall', 2, 1)",52,norm,1,2,"{'loc': 0.11776923076923076, 'scale': 0.04064556716515978}",92.76420215698784,0.161655784586345,0.0011,-181.52840431397567,-177.62591687681282,
"('fall', 2, 2)",52,norm,1,2,"{'loc': 0.10882692307692308, 'scale': 0.024272270625175865}",119.573073024473,0.1140857239380074,0.0931,-235.146146048946,-231.2436586117832,
"('fall', 2, 3)",52,norm,1,2,"{'loc': 0.10476923076923075, 'scale': 0.025871439096941354}",116.25521040142024,0.0999014900303129,0.2137,-228.51042080284049,-224.60793336567764,
"('fall', 2, 4)",52,norm,1,2,"{'loc': 0.10705769230769231, 'scale': 0.02528484911314592}",117.44779169284772,0.099632288920996,0.2069,-230.89558338569543,-226.99309594853256,
"('fall', 2, 5)",52,norm,1,2,"{'loc': 0.10894230769230767, 'scale': 0.03524715671104575}",100.17445778350334,0.1813639437836112,0.0003,-196.34891556700669,-192.44642812984384,
"('fall', 2, 6)",52,norm,1,2,"{'loc': 0.08917307692307695, 'scale': 0.0360633636565539}",98.9840411515283,0.1974345809860388,0.0003,-193.9680823030566,-190.06559486589376,
"('fall', 2, 7)",52,norm,1,2,"{'loc': 0.09548076923076923, 'scale': 0.031515863151395915}",105.99293819909708,0.2290634808058113,0.0001,-207.9858763981941,-204.0833889610313,
"('fall', 2, 8)",52,norm,1,2,"{'loc': 0.08923076923076922, 'scale': 0.05812407662942842}",74.1643119329551,0.274846255930151,0.0001,-144.3286238659102,-140.42613642874736,
"('fall', 2, 9)",52,norm,1,2,"{'loc': 0.09740384615384615, 'scale': 0.04458753689929017}",87.95084311117053,0.2663435373288497,0.0001,-171.90168622234106,-167.9991987851782,
"('fall', 2, 10)",52,norm,1,2,"{'loc': 0.11015384615384614, 'scale': 0.09828361327837543}",46.84989055011577,0.2731199241566272,0.0001,-89.69978110023153,-85.79729366306867,
"('fall', 2, 11)",52,norm,1,2,"{'loc': 0.11942307692307691, 'scale': 0.1001889265633541}",45.85147198182349,0.2568709647276587,0.0001,-87.70294396364699,-83.80045652648413,
"('fall', 2, 12)",52,norm,1,2,"{'loc': 0.1285769230769231, 'scale': 0.11338588742632667}",39.41703021004252,0.2508679191991832,0.0001,-74.83406042008504,-70.93157298292218,
"('fall', 2, 13)",52,norm,1,2,"{'loc': 0.1531923076923077, 'scale': 0.129178474996289}",32.6363320662369,0.2122080679422741,0.0001,-61.27266413247381,-57.37017669531095,
"('fall', 2, 14)",52,norm,1,2,"{'loc': 0.13528846153846152, 'scale': 0.08420723898592766}",54.887864435045536,0.1913246270003575,0.0001,-105.77572887009109,-101.8732414329282,
"('fall', 2, 15)",52,norm,1,2,"{'loc': 0.20428846153846153, 'scale': 0.23102375306935108}",2.4074030969024776,0.274420290749862,0.0001,-0.8148061938049551,3.0876812433579,
"('fall', 2, 16)",52,norm,1,2,"{'loc': 0.26053846153846155, 'scale': 0.28935687717222813}",-9.299890580202058,0.3520286376431648,0.0001,22.59978116040412,26.50226859756697,
"('fall', 2, 17)",52,norm,1,2,"{'loc': 0.23980769230769233, 'scale': 0.2545224818890902}",-2.629766037250449,0.3145330335225891,0.0001,9.2595320745009,13.162019511663754,
"('fall', 2, 18)",52,norm,1,2,"{'loc': 0.13926923076923078, 'scale': 0.056317819076755184}",75.8058994397467,0.0930490299727465,0.3044,-147.6117988794934,-143.70931144233057,
"('fall', 2, 19)",52,norm,1,2,"{'loc': 0.1520192307692308, 'scale': 0.04781514500360714}",84.31666439996499,0.1605035458013469,0.0016,-164.63332879992998,-160.73084136276714,
"('fall', 2, 20)",52,norm,1,2,"{'loc': 0.17211538461538467, 'scale': 0.054603695932303485}",77.41318906098506,0.1202043692060381,0.059,-150.82637812197012,-146.92389068480728,
"('fall', 2, 21)",52,norm,1,2,"{'loc': 0.17078846153846156, 'scale': 0.06704256298411697}",66.7414311025492,0.1022000933904722,0.1837,-129.4828622050984,-125.58037476793554,
"('fall', 2, 22)",52,norm,1,2,"{'loc': 0.1513653846153846, 'scale': 0.07693079528585163}",59.58734550986805,0.1376848726585854,0.015,-115.17469101973607,-111.27220358257324,
"('fall', 2, 23)",52,norm,1,2,"{'loc': 0.13871153846153847, 'scale': 0.07105613613368321}",63.71801963097156,0.182934697144941,0.0001,-123.43603926194312,-119.53355182478026,
"('fall', 3, 0)",52,norm,1,2,"{'loc': 0.11659615384615386, 'scale': 0.05363920051008356}",78.33990279485644,0.1741842222566343,0.0006,-152.67980558971288,-148.77731815255004,
"('fall', 3, 1)",52,norm,1,2,"{'loc': 0.10674999999999998, 'scale': 0.03617419128860541}",98.8244831102091,0.1316734981904906,0.0245,-193.6489662204182,-189.74647878325536,
"('fall', 3, 2)",52,norm,1,2,"{'loc': 0.09896153846153845, 'scale': 0.035399348939287624}",99.95041250232528,0.1541315349299221,0.0036,-195.90082500465056,-191.9983375674877,
"('fall', 3, 3)",52,norm,1,2,"{'loc': 0.0971923076923077, 'scale': 0.026451725595549497}",115.1017581840793,0.145751564025176,0.0079,-226.2035163681586,-222.30102893099576,
"('fall', 3, 4)",52,norm,1,2,"{'loc': 0.08946153846153847, 'scale': 0.022546073799821167}",123.40930190474654,0.0733237038386405,0.686,-242.81860380949308,-238.91611637233024,
"('fall', 3, 5)",52,norm,1,2,"{'loc': 0.09890384615384615, 'scale': 0.04441338139283657}",88.1543488292683,0.1736677446456223,0.0002,-172.3086976585366,-168.40621022137375,
"('fall', 3, 6)",52,norm,1,2,"{'loc': 0.11176923076923077, 'scale': 0.07977097394430926}",57.70216621119874,0.2470764247258059,0.0001,-111.40433242239747,-107.5018449852346,
"('fall', 3, 7)",52,norm,1,2,"{'loc': 0.11811538461538461, 'scale': 0.08580000310340541}",53.91348056189276,0.2485798410834017,0.0001,-103.82696112378552,-99.92447368662266,
"('fall', 3, 8)",52,norm,1,2,"{'loc': 0.14234615384615384, 'scale': 0.17167521713256925}",17.8470409771162,0.3346233266903911,0.0001,-31.6940819542324,-27.791594517069548,
