combination,n,distribution,success,nparams,fit_params,log_likelihood,ks_statistic,ks_pvalue,aic,bic,llr
"(1, 0)",192,norm,1,2,"{'loc': 0.10213020833333332, 'scale': 0.021656858131392558}",463.3909571862318,0.1770059739938475,0.0001,-922.7819143724636,-916.266923628408,
"(1, 0)",192,lognorm_2,1,2,"{'s': 0.20124869691481295, 'loc': 0, 'scale': 0.10001603118163992}",477.4464189088162,0.11379195262378672,0.0001,-950.8928378176324,-944.3778470735768,
"(1, 0)",192,lognorm,1,3,"{'s': 0.46976658499409624, 'loc': 0.056534543002063516, 'scale': 0.04088458990630703}",486.4479098771831,0.11379195262378672,0.0001,-966.8958197543662,-957.1233336382829,2.205592056459661e-05
"(1, 0)",192,exponnorm,1,3,"{'K': 3.7188504668551685, 'loc': 0.07925518617083532, 'scale': 0.0061510769208723386}",489.2373755498995,0.109651302274556,0.0001,-972.474751099799,-962.7022649837157,
"(1, 0)",192,invgauss_2,1,2,"{'mu': 0.041241056718031244, 'loc': 0, 'scale': 2.4764207433288288}",477.7163121313861,0.11209757740662407,0.0001,-951.4326242627722,-944.9176335187166,
"(1, 0)",192,invgauss,1,3,"{'mu': 0.21750089176105258, 'loc': 0.05448090986529795, 'scale': 0.21907441566977795}",486.92651297837665,0.11211916631492869,0.0001,-967.8530259567533,-958.08053984067,1.771510951952443e-05
"(1, 0)",192,beta,1,4,"{'a': 0.8461579593419684, 'b': 1.6882071397390253, 'loc': 0.06599999999999999, 'scale': 0.10733577543621642}",464.10015901000463,0.10963314866037899,0.0019,-920.2003180200093,-907.1703365318981,
"(1, 0)",192,gamma_2,1,2,"{'a': 24.068274900891428, 'loc': 0, 'scale': 0.004243353906912151}",473.6658435299876,0.110926927925586,0.0001,-943.3316870599753,-936.8166963159197,
"(1, 0)",192,gamma,1,3,"{'a': 3.253414517540649, 'loc': 0.06334951086296815, 'scale': 0.011919966179883794}",486.0125933057409,0.1109275498637986,0.0001,-966.0251866114818,-956.2527004953985,6.721048378301093e-07
"(1, 0)",192,gumbel_r,1,2,"{'loc': 0.0923265238864817, 'scale': 0.01606811629278358}",483.99082482850423,0.12731856529654006,0.0001,-963.9816496570085,-957.4666589129529,
"(1, 0)",192,rayleigh_1,1,1,"{'loc': 0, 'scale': 0.07382275719022331}",366.6723205960512,0.14768042707606388,0.0001,-731.3446411921024,-728.0871458200746,
"(1, 0)",192,rayleigh,1,2,"{'loc': 0.06414569377312584, 'scale': 0.03091797899683838}",482.0999921596082,0.14768042707606388,0.0001,-960.1999843192164,-953.6849935751608,3.879787920013063e-52
"(1, 0)",192,weibull_min_2,1,2,"{'c': 4.7681346592273135, 'loc': 0, 'scale': 0.11110549728747843}",453.6959759112307,0.12244001002001825,0.0001,-903.3919518224614,-896.8769610784058,
"(1, 0)",192,weibull_min,1,3,"{'c': 1.7875701106225317, 'loc': 0.06534698340761014, 'scale': 0.04147429931674754}",483.5815934501333,0.12246400818153624,0.0001,-961.1631869002666,-951.3907007841833,1.0654931197370284e-14
"(1, 0)",192,GMM2,1,6,"{'weights': array([0.71541371, 0.28458629]), 'means': array([0.08999406, 0.13263894]), 'stds': array([0.00917084, 0.01179492])}",508.64143509956654,0.0530818924857166,0.049,-1005.2828701991331,-985.7378979669663,1.030583923602672e-18
"(1, 0)",192,GMM3,1,9,"{'weights': array([0.33560621, 0.37236538, 0.29202842]), 'means': array([0.08298211, 0.09589593, 0.132085  ]), 'stds': array([0.00630692, 0.0061017 , 0.01216973])}",509.7960629447504,0.05188028226803987,0.0206,-1001.5921258895008,-972.2746675412508,0.5107500818076591
"(1, 0)",192,WMM2,1,6,"{'weights': array([1., 0.]), 'shapes': array([4.78378857, 3.26288496]), 'scales': array([0.11148287, 1.57281909])}",453.6737318839803,0.19231314080782624,0.0392,-895.3474637679606,-875.8024915357938,1.0
"(1, 0)",192,WMM3,1,9,"{'weights': array([0.44893492, 0.55106508, 0.        ]), 'shapes': array([4.72687537, 6.20025391, 0.44656565]), 'scales': array([0.12193122, 0.09096353, 0.06286992])}",469.03623544085343,0.1872693422877635,0.0804,-920.0724708817069,-890.7550125334568,9.71263838063736e-07
"(1, 0)",192,KDEscott,1,1,{'fitted_kde': <scipy.stats._kde.gaussian_kde object at 0x2ad0a304ac90>},508.62394582859065,0.07323682703358249,0.005,-1015.2478916571813,-1011.9903962851536,
"(1, 0)",192,KDEsilverman,1,1,{'fitted_kde': <scipy.stats._kde.gaussian_kde object at 0x2ad0a306c950>},506.42971029120974,0.07738764077647052,0.0042,-1010.8594205824195,-1007.6019252103918,
"(1, 1)",192,norm,1,2,"{'loc': 0.10127604166666666, 'scale': 0.021454696673027036}",465.19164772915343,0.19261936950897063,0.0001,-926.3832954583069,-919.8683047142513,
"(1, 1)",192,lognorm_2,1,2,"{'s': 0.19808811784974026, 'loc': 0, 'scale': 0.0992226160173814}",482.01486356507286,0.11403874040071205,0.0001,-960.0297271301457,-953.5147363860901,
"(1, 1)",192,lognorm,1,3,"{'s': 0.6145591346373316, 'loc': 0.06646047352388029, 'scale': 0.02896273071200875}",501.0541464288381,0.11403874040071205,0.0001,-996.1082928576762,-986.3358067415929,6.79525296947792e-10
"(1, 1)",192,exponnorm,1,3,"{'K': 4.913500028822487, 'loc': 0.07890720073015361, 'scale': 0.004552521924702815}",503.87952565729245,0.1102440914329138,0.0002,-1001.7590513145849,-991.9865651985016,
"(1, 1)",192,invgauss_2,1,2,"{'mu': 0.03993987325358702, 'loc': 0, 'scale': 2.535712645446891}",482.28149505399966,0.11287970457673324,0.0001,-960.5629901079993,-954.0479993639437,
"(1, 1)",192,invgauss,1,3,"{'mu': 0.38394439372651845, 'loc': 0.06472183813732733, 'scale': 0.09520392924229822}",501.9347352709203,0.11284878568121659,0.0001,-997.8694705418407,-988.0969844257573,3.622370876741528e-10
"(1, 1)",192,beta,1,4,"{'a': 0.5989422625425184, 'b': 1.3249463582391454, 'loc': 0.07099999999999998, 'scale': 0.09448096432368713}",481.58221876696996,0.11341669151437384,0.0008,-955.1644375339399,-942.1344560458288,
"(1, 1)",192,gamma_2,1,2,"{'a': 24.57492833573316, 'loc': 0, 'scale': 0.004121112390769673}",477.2223200113836,0.11350334860612721,0.0001,-950.4446400227672,-943.9296492787116,
"(1, 1)",192,gamma,1,3,"{'a': 2.1173342735444036, 'loc': 0.07030306691305241, 'scale': 0.014628152780221174}",500.64015831000916,0.11350768335066008,0.0001,-995.2803166200183,-985.507830503935,7.719523570666991e-12
"(1, 1)",192,gumbel_r,1,2,"{'loc': 0.09175364350616642, 'scale': 0.01505515609156956}",492.1985196331758,0.1374335066377721,0.0001,-980.3970392663516,-973.882048522296,
"(1, 1)",192,rayleigh_1,1,1,"{'loc': 0, 'scale': 0.0732022561981528}",368.38440299365027,0.17729633685024826,0.0001,-734.7688059873005,-731.5113106152728,
"(1, 1)",192,rayleigh,1,2,"{'loc': 0.06642217684335831, 'scale': 0.02894042071612858}",488.61737420845225,0.17729633685024826,0.0001,-973.2347484169045,-966.7197576728489,3.112502298741432e-54
"(1, 1)",192,weibull_min_2,1,2,"{'c': 4.721233649558324, 'loc': 0, 'scale': 0.11020279711741776}",454.45119731688806,0.11693242484109923,0.0001,-904.9023946337761,-898.3874038897205,
"(1, 1)",192,weibull_min,1,3,"{'c': 1.4811221503202558, 'loc': 0.07078834144978295, 'scale': 0.03384102687098289}",498.8197879805968,0.1169153246729101,0.0001,-991.6395759611936,-981.8670898451103,4.5090989390939375e-21
"(1, 1)",192,GMM2,1,6,"{'weights': array([0.73014494, 0.26985506]), 'means': array([0.08943827, 0.13330541]), 'stds': array([0.00809252, 0.01127926])}",528.1793524649802,0.0463396874792551,0.1613,-1044.3587049299604,-1024.8137326977937,2.824125144910805e-26
