combination,n,distribution,success,nparams,fit_params,log_likelihood,ks_statistic,ks_pvalue,aic,bic,llr
"(1, 0)",192,norm,1,2,"{'loc': 0.11158333333333333, 'scale': 0.03406677470628661}",376.41488357060814,0.17060456066802765,0.0001,-748.8297671412163,-742.3147763971607,
"(1, 0)",192,lognorm_2,1,2,"{'s': 0.27529109669774154, 'loc': 0, 'scale': 0.10720766325061831}",403.96324259896994,0.10164958571396077,0.0001,-803.9264851979399,-797.4114944538843,
"(1, 0)",192,lognorm,1,3,"{'s': 0.3551209691604646, 'loc': 0.023824532680808218, 'scale': 0.08223014310596481}",406.0015864005056,0.10164958571396077,0.0001,-806.0031728010111,-796.2306866849278,0.04347881370139513
"(1, 0)",192,exponnorm,1,3,"{'K': 2.131707443843882, 'loc': 0.08229248335612437, 'scale': 0.013740516463423455}",411.99108285131746,0.08109412519973014,0.0004,-817.9821657026349,-808.2096795865516,
"(1, 0)",192,invgauss_2,1,2,"{'mu': 0.0791780904886711, 'loc': 0, 'scale': 1.4092703252208238}",403.5991340398908,0.10767180620113626,0.0001,-803.1982680797817,-796.6832773357261,
"(1, 0)",192,invgauss,1,3,"{'mu': 0.1201590800646365, 'loc': 0.019156974635212584, 'scale': 0.7691932425870529}",405.0287000519105,0.1076636880354166,0.0001,-804.057400103821,-794.2849139877377,0.09085651256431419
"(1, 0)",192,beta,1,4,"{'a': 6.363272602507179, 'b': 814795623.113553, 'loc': 0.033726815422364886, 'scale': 9932537.06408165}",402.0259251657254,0.11712792799710603,0.0001,-796.0518503314509,-783.0218688433397,
"(1, 0)",192,gamma_2,1,2,"{'a': 12.66316190527934, 'loc': 0, 'scale': 0.008811648636255186}",397.48636906411423,0.11712805309608276,0.0001,-790.9727381282285,-784.4577473841729,
"(1, 0)",192,gamma,1,3,"{'a': 0.496756189873582, 'loc': 0.04399999999999999, 'scale': 0.43537809632698043}",226.94878454554544,0.11714135132397185,0.0003,-447.8975690910909,-438.1250829750075,1.0
"(1, 0)",192,gumbel_r,1,2,"{'loc': 0.09713204528318568, 'scale': 0.024234594832566892}",407.74385480606566,0.09357660718915362,0.0001,-811.4877096121313,-804.9727188680757,
"(1, 0)",192,rayleigh_1,1,1,"{'loc': 0, 'scale': 0.08249662240560722}",337.3455948829005,0.1392075890321227,0.0001,-672.691189765801,-669.4336943937733,
"(1, 0)",192,rayleigh,1,2,"{'loc': 0.043088596463222, 'scale': 0.05409285589518582}",390.3754413183083,0.1392075890321227,0.0001,-776.7508826366166,-770.235891892561,7.154720863944869e-25
"(1, 0)",192,weibull_min_2,1,2,"{'c': 3.2429732718165494, 'loc': 0, 'scale': 0.12396870571765728}",372.17235675721577,0.14695207978403813,0.0001,-740.3447135144315,-733.829722770376,
"(1, 0)",192,weibull_min,1,3,"{'c': 1.4639978042463837, 'loc': 0.0653979820646969, 'scale': 0.05155746592618741}",-969.7496152614435,0.11182451327663823,0.0001,1945.499230522887,1955.2717166389705,1.0
"(1, 0)",192,GMM2,1,6,"{'weights': array([0.12392626, 0.87607374]), 'means': array([0.18606684, 0.10104716]), 'stds': array([0.02641947, 0.01820265])}",423.9375683708906,0.05371889594689633,0.1,-835.8751367417811,-816.3301645096144,1.114564095840181e-19
