combination,n,distribution,success,nparams,fit_params,log_likelihood,ks_statistic,ks_pvalue,aic,bic,llr
"(1, 0)",940,norm,1,2,"{'loc': 0.33824601063829784, 'scale': 0.17801472617945002}",288.5334395084712,0.13597144553189,0.0001,-573.0668790169424,-563.3751192664142,
"(1, 1)",928,norm,1,2,"{'loc': 0.26615813577586206, 'scale': 0.17808358367896457}",284.4911455875201,0.1237745231677497,0.0001,-564.9822911750402,-555.3162277094679,
"(1, 2)",928,norm,1,2,"{'loc': 0.20298383620689658, 'scale': 0.1509193013321817}",438.08233351787993,0.1797440134056862,0.0001,-872.1646670357599,-862.4986035701875,
"(1, 3)",928,norm,1,2,"{'loc': 0.18757623922413794, 'scale': 0.15086185383465842}",438.4356443686922,0.203790917205802,0.0001,-872.8712887373845,-863.2052252718121,
"(1, 4)",928,norm,1,2,"{'loc': 0.17886637931034483, 'scale': 0.1463332311096041}",466.7193369027167,0.2184038894675907,0.0001,-929.4386738054334,-919.772610339861,
"(1, 5)",928,norm,1,2,"{'loc': 0.17446497844827588, 'scale': 0.14494012814080742}",475.5962861450959,0.224450400563304,0.0001,-947.1925722901918,-937.5265088246194,
"(1, 6)",928,norm,1,2,"{'loc': 0.16857031249999999, 'scale': 0.13823534161318976}",519.5492810947833,0.2371557684229336,0.0001,-1035.0985621895666,-1025.432498723994,
"(1, 7)",928,norm,1,2,"{'loc': 0.16986664870689655, 'scale': 0.13871318558775317}",516.346955717486,0.2206935408427675,0.0001,-1028.693911434972,-1019.0278479693995,
"(1, 8)",928,norm,1,2,"{'loc': 0.20403502155172412, 'scale': 0.13331171789866922}",553.2054998704909,0.159570219007565,0.0001,-1102.410999740982,-1092.7449362754094,
"(1, 9)",928,norm,1,2,"{'loc': 0.2397365301724138, 'scale': 0.1545705172657059}",415.8983552950856,0.1113240716419424,0.0001,-827.7967105901712,-818.1306471245988,
"(1, 10)",928,norm,1,2,"{'loc': 0.2354005926724138, 'scale': 0.15563847709326786}",409.5086589710797,0.0922116536650947,0.0001,-815.0173179421595,-805.3512544765871,
"(1, 11)",928,norm,1,2,"{'loc': 0.21489493534482756, 'scale': 0.1326469861411235}",557.8443580552207,0.099289661954789,0.0001,-1111.6887161104414,-1102.022652644869,
"(1, 12)",928,norm,1,2,"{'loc': 0.2251193426724138, 'scale': 0.14347603285786995}",485.01803344736686,0.1319861594938488,0.0001,-966.0360668947336,-956.3700034291612,
"(1, 13)",928,norm,1,2,"{'loc': 0.24654876077586205, 'scale': 0.16976401671052901}",328.8900765531198,0.1304365746180714,0.0001,-653.7801531062396,-644.1140896406672,
"(1, 14)",928,norm,1,2,"{'loc': 0.22655414870689652, 'scale': 0.15652891430843385}",404.2145251214407,0.1552692128468727,0.0001,-804.4290502428814,-794.762986777309,
"(1, 15)",928,norm,1,2,"{'loc': 0.23632165948275863, 'scale': 0.15801892179107335}",395.4226205036145,0.1614366274779722,0.0001,-786.845241007229,-777.1791775416566,
"(1, 16)",928,norm,1,2,"{'loc': 0.2538025323275862, 'scale': 0.1461331429751894}",467.9891021417961,0.1512622801817559,0.0001,-931.9782042835922,-922.3121408180198,
"(1, 17)",928,norm,1,2,"{'loc': 0.29063389008620694, 'scale': 0.17582103406618987}",296.3569113419868,0.1520844527814355,0.0001,-588.7138226839736,-579.0477592184012,
"(1, 18)",928,norm,1,2,"{'loc': 0.34744261853448277, 'scale': 0.20660198969633325}",146.64493425898178,0.101172912017726,0.0001,-289.28986851796355,-279.6238050523912,
"(1, 19)",928,norm,1,2,"{'loc': 0.39400673491379307, 'scale': 0.23740185533476066}",17.689952120748934,0.1071551882511866,0.0001,-31.37990424149787,-21.71384077592547,
"(1, 20)",928,norm,1,2,"{'loc': 0.39623168103448275, 'scale': 0.20381439196580214}",159.2513047202222,0.1087240539690803,0.0001,-314.5026094404444,-304.836545974872,
"(1, 21)",928,norm,1,2,"{'loc': 0.36884348060344824, 'scale': 0.17798218057859164}",285.0197113140584,0.1361475473902276,0.0001,-566.0394226281168,-556.3733591625444,
"(1, 22)",928,norm,1,2,"{'loc': 0.3506120689655173, 'scale': 0.15665601333438442}",403.4613094194908,0.1760064022427985,0.0001,-802.9226188389816,-793.2565553734092,
"(1, 23)",928,norm,1,2,"{'loc': 0.3538160021551725, 'scale': 0.16128422942586693}",376.4418424469778,0.1680594600468105,0.0001,-748.8836848939557,-739.2176214283833,
"(2, 0)",944,norm,1,2,"{'loc': 0.35645471398305084, 'scale': 0.1734171245140062}",314.46238099267407,0.1716989524161775,0.0001,-624.9247619853481,-615.2245096530571,
"(2, 1)",925,norm,1,2,"{'loc': 0.30881, 'scale': 0.20019432193530148}",175.31362316557698,0.1024785218811944,0.0001,-346.627246331154,-336.9676588561291,
