combination,n,distribution,success,nparams,fit_params,log_likelihood,ks_statistic,ks_pvalue,aic,bic,llr
"('fall', 1, 0)",224,norm,1,2,"{'loc': 0.15658482142857144, 'scale': 0.1908050980431441}",53.21439599090547,0.3027052985285199,0.0001,-102.42879198181096,-95.60549987810089,
"('fall', 1, 1)",224,norm,1,2,"{'loc': 0.08428013392857141, 'scale': 0.059457043283064503}",314.39803485324614,0.2498470894828359,0.0001,-624.7960697064923,-617.9727776027822,
"('fall', 1, 2)",224,norm,1,2,"{'loc': 0.07488727678571429, 'scale': 0.025664502760799866}",502.59057501336224,0.135841857779711,0.0001,-1001.1811500267244,-994.3578579230144,
"('fall', 1, 3)",224,norm,1,2,"{'loc': 0.08603125, 'scale': 0.03279853656973237}",447.64895798765554,0.1024487855325156,0.0001,-891.2979159753111,-884.474623871601,
"('fall', 1, 4)",224,norm,1,2,"{'loc': 0.07785714285714286, 'scale': 0.024672525166401893}",511.4203276438242,0.1296026589207665,0.0001,-1018.8406552876484,-1012.0173631839384,
"('fall', 1, 5)",224,norm,1,2,"{'loc': 0.09043526785714286, 'scale': 0.035587146956445964}",429.3704158597461,0.0847831680347155,0.0006,-854.7408317194922,-847.9175396157822,
"('fall', 1, 6)",224,norm,1,2,"{'loc': 0.13872098214285714, 'scale': 0.07966033322309145}",248.8740766323927,0.2007998566081162,0.0001,-493.7481532647854,-486.92486116107534,
"('fall', 1, 7)",224,norm,1,2,"{'loc': 0.3307723214285714, 'scale': 0.2362981799737287}",5.313787090993284,0.2210136566118549,0.0001,-6.627574181986567,0.1957179217235118,
"('fall', 1, 8)",224,norm,1,2,"{'loc': 0.4690122767857143, 'scale': 0.2247895484405799}",16.49807522513792,0.0389318774742112,0.5696,-28.99615045027584,-22.17285834656576,
"('fall', 1, 9)",224,norm,1,2,"{'loc': 0.41432924107142854, 'scale': 0.28833316411942705}",-39.26717437822903,0.1250379710461798,0.0001,82.53434875645806,89.35764086016813,
"('fall', 1, 10)",224,norm,1,2,"{'loc': 0.36603125, 'scale': 0.34607688365867745}",-80.15710342123046,0.2270738191203945,0.0001,164.31420684246092,171.137498946171,
"('fall', 1, 11)",224,norm,1,2,"{'loc': 0.3747399553571428, 'scale': 0.29850275961798345}",-47.03158475989708,0.1776424056029097,0.0001,98.06316951979416,104.88646162350425,
"('fall', 1, 12)",224,norm,1,2,"{'loc': 0.42551785714285717, 'scale': 0.26483006515273344}",-20.22084084982945,0.1191697634150417,0.0001,44.4416816996589,51.26497380336898,
"('fall', 1, 13)",224,norm,1,2,"{'loc': 0.5850066964285714, 'scale': 0.34406307570962186}",-78.84984898752796,0.065795662460011,0.0185,161.69969797505593,168.522990078766,
"('fall', 1, 14)",224,norm,1,2,"{'loc': 0.6984151785714285, 'scale': 0.3309955079566309}",-70.17652507700949,0.0809076538355259,0.0014,144.35305015401897,151.17634225772906,
"('fall', 1, 15)",224,norm,1,2,"{'loc': 0.7237466517857143, 'scale': 0.4013577615085629}",-113.35216639422848,0.1016301626855842,0.0001,230.70433278845692,237.52762489216704,
"('fall', 1, 16)",224,norm,1,2,"{'loc': 0.4771205357142857, 'scale': 0.32107446476173473}",-63.35981744978594,0.1167766010023314,0.0001,130.71963489957187,137.54292700328196,
"('fall', 1, 17)",224,norm,1,2,"{'loc': 0.42236160714285714, 'scale': 0.19222665204942674}",51.551716281757535,0.0586053765048262,0.0585,-99.10343256351509,-92.280140459805,
"('fall', 1, 18)",224,norm,1,2,"{'loc': 0.3992343750000001, 'scale': 0.2083480137777778}",33.51195031709514,0.097755187860667,0.0001,-63.02390063419029,-56.2006085304802,
"('fall', 1, 19)",224,norm,1,2,"{'loc': 0.4215089285714286, 'scale': 0.25385377986105484}",-10.738937583629925,0.1266878808338578,0.0001,25.47787516725985,32.30116727096993,
"('fall', 1, 20)",224,norm,1,2,"{'loc': 0.6541874999999999, 'scale': 0.3484471523326744}",-81.68604185040827,0.0785339346905379,0.0016,167.37208370081655,174.19537580452663,
"('fall', 1, 21)",224,norm,1,2,"{'loc': 0.5631484375, 'scale': 0.26737617504544714}",-22.36411886516165,0.055374522616134,0.0955,48.72823773032331,55.55152983403339,
"('fall', 1, 22)",224,norm,1,2,"{'loc': 0.39214955357142856, 'scale': 0.1933263786523619}",50.273866504941566,0.0763923817549382,0.0031,-96.54773300988312,-89.72444090617306,
"('fall', 1, 23)",224,norm,1,2,"{'loc': 0.2089296875, 'scale': 0.10924312366146008}",178.13395154162026,0.0996567690418007,0.0001,-352.2679030832405,-345.44461097953047,
"('fall', 2, 0)",228,norm,1,2,"{'loc': 0.13262280701754386, 'scale': 0.09103055953532106}",222.8976966569921,0.2587344429878882,0.0001,-441.7953933139843,-434.9367020560754,
"('fall', 2, 1)",224,norm,1,2,"{'loc': 0.0868169642857143, 'scale': 0.037102686628735566}",420.0285292934291,0.1395019461304147,0.0001,-836.0570585868581,-829.2337664831481,
"('fall', 2, 2)",224,norm,1,2,"{'loc': 0.07880022321428572, 'scale': 0.025321206394122435}",505.6070888375602,0.122815207926847,0.0001,-1007.2141776751204,-1000.3908855714104,
"('fall', 2, 3)",224,norm,1,2,"{'loc': 0.07656808035714287, 'scale': 0.02296563322143328}",527.4791995320447,0.1136558660261487,0.0001,-1050.9583990640897,-1044.1351069603793,
"('fall', 2, 4)",224,norm,1,2,"{'loc': 0.06634375, 'scale': 0.022376935894903995}",533.2960561413153,0.2051085018650829,0.0001,-1062.5921122826303,-1055.7688201789204,
"('fall', 2, 5)",224,norm,1,2,"{'loc': 0.08779799107142858, 'scale': 0.03913494976155209}",408.0833841824691,0.0879393145700484,0.0005,-812.1667683649382,-805.3434762612281,
"('fall', 2, 6)",224,norm,1,2,"{'loc': 0.138328125, 'scale': 0.08463148537115033}",235.3143253204237,0.2434151469018606,0.0001,-466.6286506408474,-459.80535853713735,
"('fall', 2, 7)",224,norm,1,2,"{'loc': 0.2818671875, 'scale': 0.19893994305676557}",43.86228230416382,0.22373125071874,0.0001,-83.72456460832764,-76.90127250461757,
"('fall', 2, 8)",224,norm,1,2,"{'loc': 0.4159776785714286, 'scale': 0.2351699804453083}",6.385830541446596,0.0814945317388802,0.0008,-8.771661082893193,-1.9483689791831136,
"('fall', 2, 9)",224,norm,1,2,"{'loc': 0.32149999999999995, 'scale': 0.21439950791812867}",27.09853703008106,0.1233257032653802,0.0001,-50.19707406016212,-43.37378195645204,
"('fall', 2, 10)",224,norm,1,2,"{'loc': 0.2276517857142857, 'scale': 0.18647329572658028}",58.358429561242886,0.1726166146055439,0.0001,-112.71685912248576,-105.8935670187757,
"('fall', 2, 11)",224,norm,1,2,"{'loc': 0.18679129464285715, 'scale': 0.13892061269590644}",124.30076007747446,0.206861650207455,0.0001,-244.60152015494893,-237.77822805123884,
"('fall', 2, 12)",224,norm,1,2,"{'loc': 0.2460167410714286, 'scale': 0.19586827923697697}",47.34785600821249,0.1935598192246966,0.0001,-90.69571201642498,-83.8724199127149,
"('fall', 2, 13)",224,norm,1,2,"{'loc': 0.3072287946428572, 'scale': 0.22730043333555097}",14.009880297981912,0.1444052976402549,0.0001,-24.019760595963824,-17.196468492253743,
"('fall', 2, 14)",224,norm,1,2,"{'loc': 0.27420870535714287, 'scale': 0.19254466006205725}",51.181450574276575,0.2125131132385815,0.0001,-98.36290114855316,-91.53960904484308,
"('fall', 2, 15)",228,norm,1,2,"{'loc': 0.24270614035087718, 'scale': 0.1903055577569223}",54.762354799195336,0.1585665265601364,0.0001,-105.52470959839069,-98.66601834048178,
"('fall', 2, 16)",224,norm,1,2,"{'loc': 0.29306026785714284, 'scale': 0.149747932721599}",107.48938227805282,0.1077002076041608,0.0001,-210.97876455610563,-204.15547245239557,
"('fall', 2, 17)",224,norm,1,2,"{'loc': 0.3925066964285714, 'scale': 0.18027829571540413}",65.92656034539603,0.0849286356501577,0.0011,-127.85312069079204,-121.02982858708198,
"('fall', 2, 18)",224,norm,1,2,"{'loc': 0.4477399553571429, 'scale': 0.21102051186584447}",30.65695458378691,0.0949307051849497,0.0001,-57.31390916757382,-50.49061706386374,
"('fall', 2, 19)",224,norm,1,2,"{'loc': 0.5994241071428572, 'scale': 0.30057933058082537}",-48.584472974120246,0.0832414758393847,0.0009,101.16894594824048,107.99223805195057,
"('fall', 2, 20)",224,norm,1,2,"{'loc': 0.7071584821428571, 'scale': 0.4303388673262324}",-128.96939240650903,0.0959827799126198,0.0001,261.93878481301806,268.7620769167281,
"('fall', 2, 21)",224,norm,1,2,"{'loc': 0.5157165178571429, 'scale': 0.3028044217843597}",-50.23656482115343,0.1057269359842216,0.0001,104.47312964230686,111.29642174601692,
"('fall', 2, 22)",224,norm,1,2,"{'loc': 0.36907477678571426, 'scale': 0.20519380603630427}",36.929047219610624,0.070558568971977,0.0084,-69.85809443922125,-63.034802335511166,
"('fall', 2, 23)",224,norm,1,2,"{'loc': 0.2396875, 'scale': 0.15285717101969032}",102.88606342243668,0.115524724747647,0.0001,-201.77212684487336,-194.94883474116327,
"('fall', 3, 0)",220,norm,1,2,"{'loc': 0.16117272727272727, 'scale': 0.14931531327672196}",106.20642545342564,0.2103245331722842,0.0001,-208.4128509068513,-201.62559581414655,
