combination,n,distribution,success,nparams,fit_params,log_likelihood,ks_statistic,ks_pvalue,aic,bic,llr
"('fall', 1, 0)",208,norm,1,2,"{'loc': 1.5165661057692306, 'scale': 0.8867181985268924}",-270.13178073038563,0.1842400048473625,0.0001,544.2635614607713,550.938637620174,
"('fall', 1, 1)",208,norm,1,2,"{'loc': 1.5208737980769231, 'scale': 1.1091101701769313}",-316.67928833791893,0.0958446749861917,0.0001,637.3585766758379,644.0336528352404,
"('fall', 1, 2)",208,norm,1,2,"{'loc': 1.0433533653846152, 'scale': 0.9582548014781778}",-286.2697695820468,0.2456097992429388,0.0001,576.5395391640936,583.2146153234962,
"('fall', 1, 3)",208,norm,1,2,"{'loc': 0.9935204326923076, 'scale': 0.9394598203700447}",-282.1495674661893,0.2665526078884155,0.0001,568.2991349323787,574.9742110917814,
"('fall', 1, 4)",208,norm,1,2,"{'loc': 0.9562043269230768, 'scale': 0.9952136148284607}",-294.14125657461153,0.2558060605657257,0.0001,592.2825131492231,598.9575893086258,
"('fall', 1, 5)",208,norm,1,2,"{'loc': 0.8794266826923077, 'scale': 0.7944542036542441}",-247.27842813834067,0.2253742276239904,0.0001,498.5568562766813,505.231932436084,
"('fall', 1, 6)",208,norm,1,2,"{'loc': 0.8297307692307693, 'scale': 0.7216445013223833}",-227.28490541461025,0.2072773406573291,0.0001,458.5698108292205,465.2448869886231,
"('fall', 1, 7)",208,norm,1,2,"{'loc': 0.43678245192307696, 'scale': 0.5093829740690122}",-154.83174568350157,0.2651702652284332,0.0001,313.66349136700313,320.33856752640577,
"('fall', 1, 8)",208,norm,1,2,"{'loc': 0.26034014423076923, 'scale': 0.1925675237129083}",47.50093525243865,0.2469789012079747,0.0001,-91.0018705048773,-84.32679434547467,
"('fall', 1, 9)",208,norm,1,2,"{'loc': 0.20214903846153845, 'scale': 0.05798165242821399}",297.16754552594205,0.1364714471633395,0.0001,-590.3350910518841,-583.6600148924815,
"('fall', 1, 10)",208,norm,1,2,"{'loc': 0.17021153846153844, 'scale': 0.08791387536816085}",210.59149270145176,0.0953790819763431,0.0001,-417.1829854029036,-410.5079092435009,
"('fall', 1, 11)",208,norm,1,2,"{'loc': 0.18986778846153843, 'scale': 0.13493759667368704}",121.47289878248252,0.1675345725797796,0.0001,-238.94579756496503,-232.27072140556243,
"('fall', 1, 12)",208,norm,1,2,"{'loc': 0.2015012019230769, 'scale': 0.15020639545816997}",99.17573696969872,0.1838975782055223,0.0001,-194.3514739393975,-187.67639777999483,
"('fall', 1, 13)",208,norm,1,2,"{'loc': 0.16610937500000003, 'scale': 0.13613530059598566}",119.6348394301971,0.2128752672903802,0.0001,-235.2696788603942,-228.5946027009916,
"('fall', 1, 14)",208,norm,1,2,"{'loc': 0.12371153846153846, 'scale': 0.07561223882502843}",241.9453059867313,0.1867986465453747,0.0001,-479.8906119734627,-473.2155358140601,
"('fall', 1, 15)",208,norm,1,2,"{'loc': 0.16089903846153847, 'scale': 0.11216629470275227}",159.917513919881,0.1587108632592602,0.0001,-315.835027839762,-309.15995168035937,
"('fall', 1, 16)",208,norm,1,2,"{'loc': 0.23028245192307692, 'scale': 0.17451442721175164}",67.97634066523695,0.2512994663055592,0.0001,-131.9526813304739,-125.27760517107126,
"('fall', 1, 17)",208,norm,1,2,"{'loc': 0.2765528846153846, 'scale': 0.15246137662329862}",96.07633356915548,0.2313870972201476,0.0001,-188.15266713831096,-181.47759097890832,
"('fall', 1, 18)",208,norm,1,2,"{'loc': 0.3179891826923077, 'scale': 0.20121347062358846}",38.36567454377641,0.2181992262105826,0.0001,-72.73134908755281,-66.05627292815018,
"('fall', 1, 19)",208,norm,1,2,"{'loc': 0.19041466346153849, 'scale': 0.08501068012021858}",217.57628853107605,0.120885724630988,0.0001,-431.1525770621521,-424.4775009027495,
"('fall', 1, 20)",208,norm,1,2,"{'loc': 0.1819134615384615, 'scale': 0.1619856143794947}",83.4723166398411,0.2697843508887488,0.0001,-162.9446332796822,-156.26955712027956,
"('fall', 1, 21)",208,norm,1,2,"{'loc': 0.14069350961538463, 'scale': 0.05098928284538277}",323.89786528784146,0.0816974101802081,0.002,-643.7957305756829,-637.1206544162803,
"('fall', 1, 22)",208,norm,1,2,"{'loc': 0.13371995192307692, 'scale': 0.06971852318083709}",258.82494715899804,0.173645228221756,0.0001,-513.6498943179961,-506.9748181585935,
"('fall', 1, 23)",208,norm,1,2,"{'loc': 0.17878485576923075, 'scale': 0.205719249323652}",33.75930977061367,0.3413059684961959,0.0001,-63.51861954122734,-56.8435433818247,
"('fall', 2, 0)",212,norm,1,2,"{'loc': 1.4094268867924529, 'scale': 0.8238747199704247}",-259.7427675448415,0.1839091036832677,0.0001,523.485535089683,530.198707639027,
"('fall', 2, 1)",208,norm,1,2,"{'loc': 1.4194639423076925, 'scale': 1.0653462007939}",-308.3055769476504,0.103754863086334,0.0001,620.6111538953007,627.2862300547033,
"('fall', 2, 2)",208,norm,1,2,"{'loc': 0.9410264423076923, 'scale': 0.9127890696755049}",-276.159120265127,0.2568352506098756,0.0001,556.318240530254,562.9933166896567,
