combination,n,distribution,success,nparams,fit_params,log_likelihood,ks_statistic,ks_pvalue,aic,bic,llr
"('fall', 1, 0)",224,norm,1,2,"{'loc': 0.06691517857142858, 'scale': 0.027530827963593275}",486.8663188742545,0.2349315086612045,0.0001,-969.732637748509,-962.9093456447988,
"('fall', 1, 1)",224,norm,1,2,"{'loc': 0.055158482142857145, 'scale': 0.008992835413124066}",737.4950353518387,0.0482757077707811,0.226,-1470.9900707036777,-1464.1667785999673,
"('fall', 1, 2)",224,norm,1,2,"{'loc': 0.05791517857142857, 'scale': 0.009294418782464373}",730.1061950978212,0.0266587790850297,0.9715,-1456.2123901956425,-1449.3890980919325,
"('fall', 1, 3)",224,norm,1,2,"{'loc': 0.05987053571428572, 'scale': 0.011171900643969427}",688.8929579932975,0.0980895549223915,0.0001,-1373.785915986595,-1366.9626238828848,
"('fall', 1, 4)",224,norm,1,2,"{'loc': 0.05939732142857144, 'scale': 0.016020339805013883}",608.150500846104,0.1417485408251165,0.0001,-1212.301001692208,-1205.477709588498,
"('fall', 1, 5)",224,norm,1,2,"{'loc': 0.06334486607142858, 'scale': 0.02905443794444796}",474.8005931145162,0.2633997403882723,0.0001,-945.6011862290324,-938.7778941253224,
"('fall', 1, 6)",224,norm,1,2,"{'loc': 0.09202120535714285, 'scale': 0.05175544363081157}",345.47231672365604,0.1999002743981931,0.0001,-686.9446334473121,-680.121341343602,
"('fall', 1, 7)",224,norm,1,2,"{'loc': 0.13937723214285716, 'scale': 0.052206155728136076}",343.5300583714078,0.0881654973894162,0.0007,-683.0601167428156,-676.2368246391055,
"('fall', 1, 8)",224,norm,1,2,"{'loc': 0.15674107142857144, 'scale': 0.07377539989794729}",266.0652745980464,0.1099410162063622,0.0001,-528.1305491960928,-521.3072570923828,
"('fall', 1, 9)",224,norm,1,2,"{'loc': 0.16269642857142855, 'scale': 0.09021226783811002}",221.0098958777068,0.1758368874318308,0.0001,-438.0197917554136,-431.1964996517036,
"('fall', 1, 10)",224,norm,1,2,"{'loc': 0.19836160714285714, 'scale': 0.15716644576152364}",96.65853969409996,0.230700652447701,0.0001,-189.31707938819997,-182.49378728448983,
"('fall', 1, 11)",224,norm,1,2,"{'loc': 0.20068749999999996, 'scale': 0.1571369007596788}",96.70065238876887,0.2283598687210891,0.0001,-189.40130477753775,-182.5780126738277,
"('fall', 1, 12)",224,norm,1,2,"{'loc': 0.19298660714285715, 'scale': 0.1358667543302574}",129.27982768499007,0.1394486985055623,0.0001,-254.5596553699801,-247.73636326627005,
"('fall', 1, 13)",224,norm,1,2,"{'loc': 0.14464955357142856, 'scale': 0.16209655776721255}",89.7398997608222,0.3162284422968764,0.0001,-175.4797995216444,-168.6565074179343,
"('fall', 1, 14)",224,norm,1,2,"{'loc': 0.12118861607142858, 'scale': 0.11653557413003501}",163.6589162979493,0.2787471522214984,0.0001,-323.3178325958986,-316.49454049218855,
"('fall', 1, 15)",224,norm,1,2,"{'loc': 0.14073660714285716, 'scale': 0.11955089107672313}",157.93671002157112,0.2167360933294473,0.0001,-311.87342004314223,-305.0501279394322,
"('fall', 1, 16)",224,norm,1,2,"{'loc': 0.19831138392857142, 'scale': 0.1484392795903998}",109.45553086738676,0.1812558974133921,0.0001,-214.91106173477357,-208.08776963106345,
"('fall', 1, 17)",224,norm,1,2,"{'loc': 0.34034040178571434, 'scale': 0.26184555734474063}",-17.682136279593536,0.2106921216024218,0.0001,39.36427255918707,46.18756466289715,
"('fall', 1, 18)",224,norm,1,2,"{'loc': 0.412328125, 'scale': 0.26681730626642286}",-21.8954248187012,0.1530205074523888,0.0001,47.7908496374024,54.61414174111248,
